team;place;value ratio;result;value (in mln) ;value (in mln) - opponent
Bayern Munich;0;3,963403682;1;882,65;222,7
Dortmund;0;4,599640934;2;640,5;139,25
Freiburg;0;0,885536241;2;135;152,45
Leverkusen;0;15,04528986;2;415,25;27,6
Werder Bremen;0;2,020082693;0;171;84,65
Wolfsburg;0;2,387014315;2;233,45;97,8
M'gladbach;0;1,301106301;1;270,5;207,9
Ein Frankfurt;0;0,920144804;2;216,05;234,8
Union Berlin;0;0,066127847;0;36;544,4
FC Koln;0;0,152693208;0;97,8;640,5
Augsburg;0;3,868055556;1;139,25;36
Fortuna Dusseldorf;0;0,203853101;0;84,65;415,25
Hoffenheim;0;1,373099415;2;234,8;171
Mainz;0;0,563585952;0;152,45;270,5
Paderborn;0;0,204444444;0;27,6;135
Schalke 04;0;0,235540701;0;207,9;882,65
RB Leipzig;0;2,519787086;2;544,4;216,05
Hertha;0;0,953951596;0;222,7;233,45
M'gladbach;0;0,496877296;0;270,5;544,4
Bayern Munich;0;5,789767137;2;882,65;152,45
Freiburg;0;1,380368098;0;135;97,8
Leverkusen;0;1,768526405;1;415,25;234,8
Schalke 04;0;0,933542883;2;207,9;222,7
Wolfsburg;0;8,458333333;1;233,45;27,6
Union Berlin;0;0,056206089;2;36;640,5
Werder Bremen;0;1,228007181;2;171;139,25
Ein Frankfurt;0;2,55227407;2;216,05;84,65
Fortuna Dusseldorf;0;0,362604412;1;84,65;233,45
Augsburg;0;0,64452673;2;139,25;216,05
Dortmund;0;1,542444311;2;640,5;415,25
FC Koln;0;0,36155268;0;97,8;270,5
Mainz;0;0,684553211;2;152,45;222,7
Union Berlin;0;0,210526316;0;36;171
RB Leipzig;0;0,616779018;1;544,4;882,65
Hoffenheim;0;1,739259259;0;234,8;135
Paderborn;0;0,132756133;0;27,6;207,9
Schalke 04;0;1,363725812;2;207,9;152,45
Bayern Munich;0;9,025051125;2;882,65;97,8
Freiburg;0;0,969479354;1;135;139,25
Hertha;0;8,06884058;2;222,7;27,6
Leverkusen;0;11,53472222;2;415,25;36
Werder Bremen;0;0,314107274;0;171;544,4
M'gladbach;0;3,195510927;2;270,5;84,65
Ein Frankfurt;0;0,337314598;1;216,05;640,5
Wolfsburg;0;0,994250426;1;233,45;234,8
Union Berlin;0;0,166628095;0;36;216,05
Augsburg;0;0,335340157;0;139,25;415,25
Hoffenheim;0;0,868022181;0;234,8;270,5
Mainz;0;0,653030628;0;152,45;233,45
Paderborn;0;0,031269473;0;27,6;882,65
RB Leipzig;0;2,618566619;0;544,4;207,9
Dortmund;0;3,745614035;1;640,5;171
Fortuna Dusseldorf;0;0,627037037;0;84,65;135
FC Koln;0;0,439155815;0;97,8;222,7
Hertha;0;2,630832841;2;222,7;84,65
Bayern Munich;0;3,759156729;0;882,65;234,8
Freiburg;0;0,210772834;1;135;640,5
Leverkusen;0;0,762766348;1;415,25;544,4
Paderborn;0;0,181042965;0;27,6;152,45
Schalke 04;0;2,125766871;1;207,9;97,8
M'gladbach;0;1,942549372;2;270,5;139,25
Wolfsburg;0;6,484722222;2;233,45;36
Ein Frankfurt;0;1,263450292;1;216,05;171
Ein Frankfurt;0;0,520288983;2;216,05;415,25
Augsburg;0;0,157763553;1;139,25;882,65
Fortuna Dusseldorf;0;0,555264021;2;84,65;152,45
RB Leipzig;0;2,331976869;1;544,4;233,45
Union Berlin;0;0,266666667;2;36;135
Werder Bremen;0;0,767849124;1;171;222,7
Dortmund;0;2,367837338;2;640,5;270,5
FC Koln;0;3,543478261;2;97,8;27,6
Hoffenheim;0;1,129389129;2;234,8;207,9
Mainz;0;1,558793456;2;152,45;97,8
Bayern Munich;0;24,51805556;2;882,65;36
Freiburg;0;0,247979427;2;135;544,4
Hertha;0;0,94846678;0;222,7;234,8
Paderborn;0;0,326048435;2;27,6;84,65
Schalke 04;0;0,324590164;1;207,9;640,5
Leverkusen;0;2,428362573;1;415,25;171
Wolfsburg;0;1,676481149;1;233,45;139,25
M'gladbach;0;1,252024994;2;270,5;216,05
Hoffenheim;0;8,507246377;2;234,8;27,6
Dortmund;0;2,743628186;2;640,5;233,45
Ein Frankfurt;0;0,244774259;2;216,05;882,65
Leverkusen;0;1,535120148;0;415,25;270,5
RB Leipzig;0;3,571006888;2;544,4;152,45
Werder Bremen;0;1,266666667;1;171;135
Union Berlin;0;0,161652447;2;36;222,7
Fortuna Dusseldorf;0;0,865541922;2;84,65;97,8
Augsburg;0;0,66979317;0;139,25;207,9
FC Koln;0;0,416524702;0;97,8;234,8
Hertha;0;0,40907421;0;222,7;544,4
Mainz;0;4,234722222;0;152,45;36
Paderborn;0;0,198204668;0;27,6;139,25
Schalke 04;0;2,455995275;1;207,9;84,65
Bayern Munich;0;1,378064012;2;882,65;640,5
M'gladbach;0;1,581871345;2;270,5;171
Wolfsburg;0;0,562191451;0;233,45;415,25
Freiburg;0;0,624855358;2;135;216,05
Dortmund;0;23,20652174;1;640,5;27,6
Ein Frankfurt;0;0,925465839;0;216,05;233,45
Fortuna Dusseldorf;0;0,095904379;0;84,65;882,65
Leverkusen;0;3,075925926;1;415,25;135
Union Berlin;0;0,133086876;2;36;270,5
Werder Bremen;0;0,822510823;0;171;207,9
RB Leipzig;0;5,566462168;2;544,4;97,8
Augsburg;0;0,625280647;2;139,25;222,7
Hoffenheim;0;1,540177107;0;234,8;152,45
Schalke 04;0;5,775;2;207,9;36
FC Koln;0;0,702333932;1;97,8;139,25
Hertha;0;0,347697112;0;222,7;640,5
Hoffenheim;0;2,773774365;1;234,8;84,65
Paderborn;0;0,050698016;0;27,6;544,4
